cluster_a	cluster_b	odds_ratio	p_value	jaccard	p_adj
1792	2330	3538.77388743254	1.64977511546174e-113	0.78494623655914	3.13457271937731e-111
1251	1625	Inf	3.39650226207391e-111	0.610294117647059	3.22667714897021e-109
1792	1370	2807.96615930486	1.71413741231545e-83	0.608695652173913	1.08562036113312e-81
2330	1370	440.201768003889	2.3542020695473e-70	0.590361445783133	1.11824598303497e-68
391	1222	726.284217999514	2.67794662786016e-55	0.285714285714286	1.01761971858686e-53
318	391	14.1817346214012	5.75726213452337e-55	0.28110599078341	1.82313300926573e-53
2231	2107	Inf	5.99227011615242e-51	0.197231833910035	1.62647331724137e-49
391	1679	23.1024232691005	2.70721782264751e-37	0.254807692307692	6.42964232878783e-36
2156	730	29.631769771688	8.54841917541055e-33	0.274647887323944	1.80466627036445e-31
1581	1532	72.0869210241691	1.70966412488974e-31	0.333333333333333	3.24836183729051e-30
318	2231	0.0121913685566592	1.69047529692923e-27	0.00149253731343284	2.91991187651412e-26
318	954	0.0284698927442739	1.91209193266096e-22	0.00314465408805031	3.02747889337985e-21
318	1521	13.2612469821092	7.15244525664036e-22	0.117794486215539	1.04535738366282e-20
2231	954	0.0199579032257941	2.03957556191012e-17	0.00183823529411765	2.76799540544945e-16
318	1222	12.3331866267683	4.58883953478769e-17	0.0934343434343434	5.81253007739774e-16
2156	1532	13.3002773841568	7.00685910425992e-13	0.139705882352941	8.32064518630865e-12
2231	391	0.0310685487499275	2.22224598411706e-11	0.00216450216450216	2.48368668813084e-10
318	1679	4.33836260536765	2.21092931504504e-10	0.0983606557377049	2.33375872143643e-09
318	2156	0	2.39182312570659e-10	0	2.39182312570659e-09
954	391	0.0358371131460287	6.86754064002624e-10	0.00233100233100233	6.52416360802492e-09
318	1766	0	2.60953477664679e-09	0	2.36100765506138e-08
954	1251	0	1.01421626182646e-08	0	8.75914044304669e-08
1625	1521	8.42839341013669	1.53245847649954e-08	0.113636363636364	1.26594395884745e-07
318	1625	0	2.80325880473345e-08	0	2.21924655374731e-07
318	730	0	1.15389863147343e-07	0	8.7696295991981e-07
318	1792	0.0448510161282768	1.36791181571054e-07	0.00211864406779661	9.99627865326932e-07
318	2330	0	1.94319497433529e-07	0	1.36743350045817e-06
954	2156	0	5.94682293917902e-07	0	4.03534413730005e-06
2231	1792	0	8.04377822370632e-07	0	5.27006159484207e-06
318	126	0	1.95258026238377e-06	0	1.19674274146102e-05
318	939	0	1.95258026238377e-06	0	1.19674274146102e-05
2231	1679	0	2.13984535085522e-06	0	1.27053317707029e-05
1251	1521	5.0611690876859	2.41001776779739e-06	0.0869565217391304	1.38758598751971e-05
954	1766	0	3.72549394989291e-06	0	2.08189367788133e-05
318	1370	0	7.95266309308743e-06	0	4.19723885468503e-05
318	2107	0	7.95266309308743e-06	0	4.19723885468503e-05
318	1581	0	8.46457500821248e-06	0	4.34667365286587e-05
954	1679	0	8.98830426612536e-06	0	4.49415213306268e-05
2231	1766	0.0607797693124779	1.28124101454564e-05	0.00261780104712042	6.08589481909178e-05
2231	2330	0	1.25298309735294e-05	0	6.08589481909178e-05
2231	730	0	1.33315975054458e-05	0	6.17805738057246e-05
954	1625	0	1.40674840727347e-05	0	6.36386184242758e-05
2231	2156	0.10945946396408	2.05782562227687e-05	0.00510204081632653	9.09271786587456e-05
318	1532	0	3.23376789665723e-05	0	0.000139639977355653
2231	1625	0.0693985227403834	4.39196938634618e-05	0.00269541778975741	0.000185438707423505
954	2330	0	5.46325678135251e-05	0	0.000225656258360212
954	730	0	5.7534917327239e-05	0	0.000232587963663307
2231	126	0	7.47437160153512e-05	0	0.000284590626706766
2231	939	0	7.47437160153512e-05	0	0.000284590626706766
954	1792	0.0725016600845322	7.48922701859911e-05	0.00289017341040462	0.000284590626706766
391	2156	0	0.000105331740922938	0	0.000392412368144279
2231	1581	0	0.000184816302980011	0	0.00066254901068306
2231	1370	0	0.000183827864089998	0	0.00066254901068306
954	1521	0	0.00020460437152556	0	0.000719904270182524
1679	1222	5.1562649603128	0.000240756768354568	0.0697674418604651	0.000831705199770325
391	1766	0	0.000249823299675583	0	0.000847614766756442
954	939	0	0.000330366920295481	0	0.0011012230676516
391	1792	0	0.000390127688149033	0	0.00127800449566063
954	1581	0	0.000494035725532862	0	0.00159096250595328
2231	1532	0	0.000715349559491192	0	0.00226527360505544
2231	1222	0	0.000761446207683193	0	0.0023717176960624
954	2107	0	0.000810886384532949	0	0.00248497440421388
2231	1251	0.306266847718429	0.00085553407193609	0.0167464114832536	0.00254647285429416
2231	1521	0.0913740381369917	0.000857759277235927	0.00284090909090909	0.00254647285429416
391	1625	0	0.00095750388116109	0	0.00279885749877857
1251	2156	0	0.000982456004834883	0	0.00282828243816103
391	730	0	0.00142090415967123	0	0.00402942970653036
954	1532	0	0.00189044789596264	0	0.00528213382695443
954	1222	0	0.00198817775603808	0	0.00547469237169905
730	1532	4.45254341522172	0.00226309584659681	0.0588235294117647	0.00614268872647707
1251	1792	0	0.00229928402198359	0	0.00615301357995609
391	2330	0	0.0023756323029209	0	0.00618315256924619
1251	1766	0	0.00236372253350004	0	0.00618315256924619
1251	1679	0	0.00356620044344242	0	0.00915646059802783
391	126	0	0.0051941873319786	0	0.0129854683299465
391	939	0	0.0051941873319786	0	0.0129854683299465
391	1521	0	0.00527425860047165	0	0.0130144043388262
954	1370	0.118897866032285	0.00738246262399484	0.00320512820512821	0.0179829217763977
391	1581	0	0.00795990379883904	0	0.0187255103852675
391	1370	0	0.00798298074319298	0	0.0187255103852675
391	2107	0	0.00798298074319298	0	0.0187255103852675
1251	2330	0	0.00837339359415643	0	0.0194017656449966
2156	1679	0	0.0130492890540345	0	0.0298718665092356
2156	1792	0	0.0132735347318294	0	0.0300234714172331
2156	1766	0	0.0140441658741483	0	0.0313928413657432
954	126	0.218503737699552	0.0191468204445292	0.00630914826498423	0.0418148952236844
391	1532	0	0.0189916961545777	0	0.0418148952236844
1251	126	0	0.0195985729779314	0	0.0418396501776063
1251	939	0	0.0195985729779314	0	0.0418396501776063
2156	1625	0	0.0202295081713007	0	0.0422374346433751
1766	1792	0	0.0200438579875485	0	0.0422374346433751
1251	1581	0	0.0302351737686973	0	0.0602000237387349
1251	1370	0	0.0299654793932984	0	0.0602000237387349
1251	2107	0	0.0299654793932984	0	0.0602000237387349
2156	2330	0	0.0308237511421414	0	0.0602000237387349
1766	1625	0	0.0307683197786291	0	0.0602000237387349
1792	1679	0	0.031050538559979	0	0.0602000237387349
1792	1625	0	0.0307080689086695	0	0.0602000237387349
1766	1679	0	0.0322124574968195	0	0.0618218881252092
1766	730	0	0.0475882011672898	0	0.0886446884488732
1766	2330	0	0.0472053273536987	0	0.0886446884488732
1792	730	0	0.0469461534444524	0	0.0886446884488732
1679	1625	0	0.0480591204536742	0	0.0886527464679428
318	1251	0.590366704216422	0.0535287288811285	0.0339321357285429	0.0977928700712925
2156	1581	0	0.071380671386952	0	0.125461106113441
2156	1370	0	0.0714112509888922	0	0.125461106113441
2156	2107	0	0.0714112509888922	0	0.125461106113441
1766	1521	0	0.071696375794971	0	0.125461106113441
1625	730	0	0.072635377223571	0	0.125461106113441
1625	2330	0	0.0722124452446575	0	0.125461106113441
2156	126	0	0.0752056922133879	0	0.125909079035386
2156	939	0	0.0752056922133879	0	0.125909079035386
1679	730	0	0.0755454474212317	0	0.125909079035386
1679	2330	0	0.0744818890358303	0	0.125909079035386
2156	1521	0	0.0767420521728017	0	0.126791216633325
2156	1222	0	0.109329832440944	0	0.167508552651597
1766	1581	0	0.110327896422002	0	0.167508552651597
1766	1370	0	0.109815990116917	0	0.167508552651597
1766	2107	0	0.109815990116917	0	0.167508552651597
1792	126	0	0.113729491010821	0	0.167508552651597
1792	939	0	0.113729491010821	0	0.167508552651597
1792	1581	0	0.10973138975491	0	0.167508552651597
1792	2107	0	0.109791008008384	0	0.167508552651597
1679	1521	0	0.111585092963736	0	0.167508552651597
1679	126	0	0.11076412646053	0	0.167508552651597
1679	939	0	0.11076412646053	0	0.167508552651597
1625	126	0	0.109959276676097	0	0.167508552651597
1625	939	0	0.109959276676097	0	0.167508552651597
730	2330	0	0.113453145464138	0	0.167508552651597
1792	1521	0	0.115350932619543	0	0.168589824597793
1766	126	0	0.117304369805049	0	0.168847198961813
1766	939	0	0.117304369805049	0	0.168847198961813
391	1251	0.554466013039566	0.155012076325378	0.0231023102310231	0.221445823321969
1766	1222	0	0.170806833618485	0	0.222519720667605
1766	1532	0	0.169421354389922	0	0.222519720667605
1792	1222	0	0.16891683320489	0	0.222519720667605
1792	1532	0	0.168233910194949	0	0.222519720667605
1679	1370	0	0.174502307260385	0	0.222519720667605
1679	2107	0	0.174502307260385	0	0.222519720667605
1625	1581	0	0.171617158665802	0	0.222519720667605
1625	1370	0	0.170313678789984	0	0.222519720667605
1625	2107	0	0.170313678789984	0	0.222519720667605
730	1521	0	0.172728287622478	0	0.222519720667605
730	126	0	0.171360724162837	0	0.222519720667605
730	939	0	0.171360724162837	0	0.222519720667605
730	1581	0	0.168608156376269	0	0.222519720667605
2330	1521	0	0.171576655235412	0	0.222519720667605
2330	126	0	0.170445651366708	0	0.222519720667605
2330	939	0	0.170445651366708	0	0.222519720667605
1679	1581	0	0.176759412852272	0	0.223895256279545
1251	1532	0.275843407873017	0.253508753583363	0.00540540540540541	0.301733105169653
1679	1532	0	0.274300648727031	0	0.301733105169653
1625	1222	0	0.269822394274788	0	0.301733105169653
1625	1532	0	0.266958609678557	0	0.301733105169653
730	1370	0	0.27395279716914	0	0.301733105169653
730	2107	0	0.27395279716914	0	0.301733105169653
730	1222	0	0.260622273067815	0	0.301733105169653
2330	1581	0	0.274735932601842	0	0.301733105169653
2330	2107	0	0.271690214672723	0	0.301733105169653
2330	1222	0	0.259936597405719	0	0.301733105169653
2330	1532	0	0.259176070313104	0	0.301733105169653
1521	126	0	0.264089335218703	0	0.301733105169653
1521	939	0	0.264089335218703	0	0.301733105169653
1521	1581	0	0.259249915650696	0	0.301733105169653
1521	1370	0	0.259085286762674	0	0.301733105169653
1521	2107	0	0.259085286762674	0	0.301733105169653
126	939	0	0.262634503486035	0	0.301733105169653
126	1581	0	0.259100720720926	0	0.301733105169653
126	1370	0	0.259193221642056	0	0.301733105169653
126	2107	0	0.259193221642056	0	0.301733105169653
939	1581	0	0.259100720720926	0	0.301733105169653
939	1370	0	0.259193221642056	0	0.301733105169653
939	2107	0	0.259193221642056	0	0.301733105169653
1521	1222	0	0.407820319749448	0	0.415984617959912
1521	1532	0	0.405725106332139	0	0.415984617959912
126	1222	0	0.40615069655753	0	0.415984617959912
126	1532	0	0.404313163805987	0	0.415984617959912
939	1222	0	0.40615069655753	0	0.415984617959912
939	1532	0	0.404313163805987	0	0.415984617959912
1581	1370	0	0.409416439781597	0	0.415984617959912
1581	2107	0	0.409416439781597	0	0.415984617959912
1581	1222	0	0.400669425335722	0	0.415984617959912
1370	2107	0	0.407389008919493	0	0.415984617959912
1370	1222	0	0.4001949835642	0	0.415984617959912
1370	1532	0	0.399915052312834	0	0.415984617959912
2107	1222	0	0.4001949835642	0	0.415984617959912
2107	1532	0	0.399915052312834	0	0.415984617959912
1251	1222	0.555736057400093	0.5769910418722	0.0108108108108108	0.583129244445309
1222	1532	0	0.636623179638609	0	0.639991556250454
1251	730	0.75805993521068	0.815461941644957	0.0192307692307692	0.815461941644957
